staName,APName,thpt,dist,time,handover
sta5,ap4,9.01,26.52,19.97,1
sta5,ap4,8.72,26.52,27.98,0
sta5,ap4,9.58,26.52,36.10,0
sta5,ap4,10.1,26.52,43.92,0
sta5,ap4,8.81,26.52,52.13,0
sta5,ap4,9.37,26.52,59.98,0
sta5,ap4,9.07,28.04,68.16,0
sta5,ap3,8.77,27.8,76.57,1
sta5,ap3,9.07,31.11,84.70,0
sta5,ap3,9.50,20.18,92.93,0
sta5,ap3,9.27,35.2,101.22,0
sta5,ap1,9.27,38.83,109.51,1
sta5,ap1,8.78,40.25,117.77,0
sta5,ap3,9.77,38.13,126.22,1
sta5,ap3,9.92,22.17,134.29,0
sta5,ap3,9.07,30.14,142.43,0
sta5,ap3,9.19,27.62,150.42,0
sta5,ap3,10.1,16.91,159.03,0
sta5,ap3,10.2,18.12,168.01,0
sta5,ap3,10.1,19.3,177.06,0
sta5,ap3,9.37,21.83,186.37,0
sta5,ap3,9.77,30.9,196.27,0
sta5,ap3,10.3,27.97,206.04,0
sta5,ap3,9.37,22.89,215.97,0
sta5,ap3,9.37,21.22,226.63,0
sta5,ap3,10.3,24.98,237.11,0
sta5,ap3,10.6,20.91,247.82,0
sta5,ap3,10.3,23.87,259.21,0
sta5,ap3,9.14,27.53,270.87,0
sta5,ap3,9.70,28.4,282.30,0
sta5,ap3,9.78,23.66,294.83,0
sta5,ap3,10.2,20.25,306.65,0
sta5,ap3,9.03,25.06,319.25,0
sta5,ap3,10.3,27.54,332.01,0
sta5,ap3,9.81,27.79,345.30,0
sta5,ap3,10.4,30.82,358.25,0
sta5,ap3,9.87,29.31,371.58,0
sta5,ap3,10.4,25.64,385.53,0
sta5,ap3,10.6,24.45,399.66,0
sta5,ap3,9.17,23.13,413.56,0
sta5,ap3,9.38,22.23,427.90,0
sta5,ap3,9.12,22.93,442.80,0
sta5,ap3,8.46,26.36,458.35,0
sta5,ap3,8.80,25.94,474.11,0
sta5,ap3,8.37,25.64,489.64,0
