thpt,ap_name,nosta,mcs,sinrval,time
8.46,4,1,3,60/70,1.22
8.46,4,1,3,58/70,2.46
9.05,4,1,3,58/70,3.64
8.99,4,1,3,60/70,4.80
10.1,4,1,3,56/70,5.95
8.10,4,1,3,52/70,7.46
10.1,4,1,3,52/70,8.59
9.04,4,1,3,53/70,9.73
9.12,4,1,3,55/70,10.86
9.27,4,1,3,55/70,12.03
8.10,4,1,3,55/70,13.34
10.4,4,1,3,52/70,14.57
8.56,4,2,3,52/70,15.79
8.84,4,2,3,51/70,17.00
9.16,4,2,3,50/70,18.15
8.14,4,2,3,49/70,19.45
8.79,4,2,3,50/70,20.62
8.24,4,2,3,49/70,21.95
10.6,4,2,3,49/70,23.14
8.78,4,2,3,50/70,24.42
8.94,4,2,3,50/70,25.72
8.37,4,2,3,50/70,26.84
9.44,4,2,3,48/70,28.15
9.18,4,2,3,48/70,29.26
8.09,4,2,3,50/70,30.68
10.0,4,2,3,52/70,31.86
8.99,4,2,3,52/70,33.20
9.51,4,2,3,54/70,34.42
8.56,4,2,3,53/70,35.67
9.16,4,2,3,52/70,36.82
9.08,4,2,3,52/70,38.06
9.28,4,2,3,55/70,39.23
9.14,4,2,3,54/70,40.60
9.42,4,2,3,54/70,41.97
9.43,4,2,3,57/70,43.36
9.54,4,2,3,57/70,44.75
8.99,4,2,3,60/70,46.31
8.97,4,2,3,58/70,47.86
9.46,4,2,3,59/70,49.33
9.36,4,2,3,57/70,50.88
9.42,4,2,3,55/70,52.38
9.69,4,2,3,53/70,53.84
10.1,4,2,3,52/70,55.19
9.16,4,2,3,52/70,56.76
10.2,4,2,3,51/70,58.21
9.14,4,2,3,51/70,59.82
10.1,4,2,3,52/70,61.23
9.49,4,2,3,53/70,62.84
8.92,4,2,3,54/70,64.40
9.02,4,2,3,54/70,65.87
9.23,4,2,3,55/70,67.50
9.19,4,2,3,54/70,69.20
10.1,4,2,3,54/70,70.78
10.5,4,2,3,55/70,72.40
9.42,4,2,3,54/70,74.10
8.93,4,2,3,54/70,75.95
9.00,4,2,3,53/70,77.75
9.86,4,2,3,53/70,79.46
9.74,4,2,3,52/70,81.24
9.02,4,2,3,53/70,82.88
9.64,4,2,3,54/70,84.64
9.47,4,2,3,53/70,86.43
9.28,4,2,3,55/70,88.20
8.98,4,2,3,56/70,90.11
9.42,4,2,3,56/70,91.90
9.45,4,2,3,56/70,93.81
9.47,4,2,3,55/70,95.75
9.59,4,2,3,57/70,97.61
9.18,4,2,3,59/70,99.76
9.42,4,2,3,59/70,101.57
9.04,4,2,3,61/70,103.47
9.37,4,2,3,60/70,105.47
8.90,4,2,3,62/70,107.46
8.96,4,2,3,61/70,109.49
9.81,4,2,3,61/70,111.42
9.14,4,2,3,61/70,113.44
9.27,4,2,3,59/70,115.49
9.97,4,2,3,60/70,117.40
8.96,4,2,3,59/70,119.31
9.17,4,2,3,61/70,121.39
9.64,4,2,3,60/70,123.51
9.61,4,2,3,60/70,125.59
9.65,4,2,3,60/70,127.54
9.62,4,2,3,58/70,129.75
10.2,4,2,3,57/70,131.82
9.83,4,2,3,56/70,133.81
9.79,4,2,3,56/70,136.10
9.14,4,2,3,57/70,138.35
9.68,4,2,3,57/70,140.52
10.4,4,2,3,56/70,142.77
9.17,4,2,3,56/70,145.05
9.70,4,2,3,56/70,147.27
8.96,4,2,3,57/70,149.51
10.0,4,2,3,56/70,151.72
8.80,4,2,3,56/70,154.13
9.71,4,2,3,55/70,156.39
9.13,4,2,3,55/70,158.72
9.55,4,2,3,55/70,161.06
8.58,4,2,3,56/70,163.33
9.57,4,2,3,56/70,165.55
9.63,4,2,3,57/70,167.93
9.75,4,2,3,57/70,170.71
9.43,4,2,3,55/70,172.97
9.29,4,2,3,57/70,175.25
10.0,4,2,3,56/70,177.53
9.03,4,2,3,57/70,180.00
9.37,4,2,3,57/70,182.40
8.81,4,2,3,57/70,184.97
9.64,4,2,3,56/70,187.38
9.57,4,2,3,56/70,189.88
8.83,4,2,3,58/70,192.34
8.95,4,2,3,58/70,195.01
9.30,4,2,3,59/70,197.47
10.3,4,2,3,59/70,199.76
9.24,4,2,3,58/70,202.27
9.04,4,2,3,58/70,205.10
9.61,4,2,3,58/70,207.67
9.02,4,2,3,57/70,210.12
10.2,4,2,3,57/70,212.72
9.87,4,2,3,57/70,215.51
10.2,4,2,3,57/70,218.31
9.02,4,2,3,57/70,221.58
9.43,4,2,3,56/70,224.46
8.90,4,2,3,55/70,227.10
9.01,4,2,3,55/70,229.72
9.90,4,2,3,54/70,232.48
