staName,APName,thpt,dist,time
sta2,ap2,6.53,18.23,57.26
sta2,ap2,6.16,13.27,64.51
sta2,ap2,6.82,24.7,72.34
sta2,ap2,6.51,19.42,80.50
sta2,ap2,5.99,12.95,87.97
sta2,ap2,6.23,31.92,95.46
sta2,ap2,5.97,29.68,103.29
sta2,ap2,7.03,28.66,111.05
sta2,ap2,6.37,41.78,118.53
sta2,ap2,6.19,36.12,126.64
sta2,ap2,6.07,33.98,134.10
sta2,ap2,6.52,39.89,141.97
sta2,ap2,7.05,31.74,149.84
sta2,ap2,6.25,28.62,157.99
sta2,ap2,6.20,29.13,166.27
sta2,ap2,6.17,27.14,174.67
sta2,ap2,7.16,30.83,183.22
sta2,ap2,6.68,35.12,191.68
sta2,ap2,6.39,42.04,200.42
sta2,ap2,6.17,39.7,209.27
sta2,ap2,6.49,35.18,218.28
sta2,ap2,6.43,41.26,227.65
sta2,ap2,6.67,42.16,236.83
sta2,ap2,7.11,45.35,246.05
sta2,ap2,7.07,47.8,255.76
sta2,ap2,6.35,45.72,264.98
sta2,ap2,6.32,42.13,275.02
sta2,ap2,6.39,41.08,285.15
sta2,ap2,6.18,40.82,295.17
sta2,ap2,6.51,37.46,305.18
sta2,ap2,6.04,35.5,315.29
sta2,ap2,6.27,33.29,325.35
sta2,ap2,6.72,33.33,336.24
sta2,ap2,6.18,26.06,346.90
sta2,ap2,6.93,21.76,357.64
sta2,ap2,6.01,23.8,368.34
sta2,ap2,6.42,25.0,379.56
sta2,ap2,6.16,27.61,390.74
sta2,ap2,5.90,27.24,402.05
sta2,ap2,5.78,26.51,413.37
sta2,ap2,6.26,29.44,424.59
sta2,ap2,6.17,31.22,435.71
sta2,ap2,6.29,29.8,447.06
sta2,ap2,6.43,26.4,458.64
sta2,ap2,5.84,26.38,470.93
sta2,ap2,6.21,25.93,482.77
sta2,ap2,5.91,26.87,494.93
